,block_id,timeout,hitting_set_time,hitting_set_cost,hitting_set_found_optimal,hitting_set_model_found,hard_time,hard_cost,oms_time,oms_cost,oms_found_optimal,oms_model_found,z3_time,z3_cost,z3_found_optimal,z3_model_found
0,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block207_input_z3.smt2,50.0,50.0,0,False,True,50.02,,50.098,,False,False,50.005,0,False,True
1,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block64_input_z3.smt2,50.0,50.0,10,False,True,50.02,,50.071000000000005,,False,False,49.993,0,False,True
2,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_initial_block46_input_z3.smt2,10.0,15.37,0,False,True,5.04,0.0,10.033999999999999,,False,False,10.021,0,False,True
3,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block83_input_z3.smt2,10.0,10.0,,False,False,8.59,0.0,10.051,,False,False,10.024,0,False,True
4,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block177_input_z3.smt2,10.0,10.0,4,False,True,10.01,,10.078,,False,False,10.026,0,False,True
5,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block378.0_input_z3.smt2,30.0,32.92,1,False,True,30.01,,30.049,,False,False,30.005,0,False,True
6,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block159.0_input_z3.smt2,30.0,30.0,1,False,True,30.01,,30.044,,False,False,29.999000000000002,0,False,True
7,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block306_input_z3.smt2,10.0,10.0,,False,False,10.01,,10.037,,False,False,10.014,0,False,True
8,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block528_input_z3.smt2,50.0,50.0,,False,False,50.01,,50.083,,False,False,50.011,0,False,True
9,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block201_input_z3.smt2,60.0,60.0,0,False,True,60.02,,60.096000000000004,,False,False,59.975,0,False,True
10,0x3E873439949793e8c577E08629c36Ed8c184e7D9_welfare_block103.0_input_z3.smt2,30.0,30.0,0,False,True,30.02,,30.049,,False,False,29.921,0,False,True
11,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block204_input_z3.smt2,60.0,60.0,,False,False,60.04,,60.104,,False,False,59.994,0,False,True
12,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block56_input_z3.smt2,50.0,52.75,3,False,True,50.01,,50.093,,False,False,49.96,0,False,True
13,0x1d29Bafa88E83a6D8F757DbFAf8BAf7be8fE08Bf_LoveVote_block266.0_input_z3.smt2,30.0,30.0,0,False,True,19.28,0.0,30.052,,False,False,29.989,0,False,True
14,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block260_input_z3.smt2,10.0,10.0,,False,False,9.02,0.0,10.045,,False,False,10.023,0,False,True
15,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block302_input_z3.smt2,30.0,30.0,,False,False,30.02,,30.074,,False,False,30.009,0,False,True
16,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_ERC721_block253_input_z3.smt2,50.0,50.44,0,False,True,50.02,,50.106,,False,False,50.015,0,False,True
17,0x3BfcE6D6F0d3D3f1326d86abdbe2845b4740Dc2E_MATICPAD_block197_input_z3.smt2,10.0,10.0,,False,False,10.01,,10.088,,False,False,10.027999999999999,0,False,True
18,0x0c9C2e9647f65118EffB3d87C6D025d95845E930_Rugpull_block393_input_z3.smt2,20.0,20.0,0,False,True,9.83,0.0,20.049,,False,False,20.01,0,False,True
19,0x1E77fbE7bfe9b11c75b90A76f571dca0C6D70a9a_ePORC_block212_input_z3.smt2,50.0,50.0,0,False,True,50.02,,50.083999999999996,,False,False,50.0,0,False,True
20,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block75_input_z3.smt2,50.0,50.0,,False,False,50.03,,50.156000000000006,,False,False,49.998000000000005,0,False,True
21,0x1f2cF791d940Bbb9fbe777271afa6ff9bBA8AbA0_ERC20_block59_input_z3.smt2,50.0,50.0,1,False,True,37.22,0.0,50.13,,False,False,49.986000000000004,0,False,True
